1	भ्वादिः	भू ( भू ) 	सत्तायाम् 	सेट् 	प.प 	1	1	1
2	भ्वादिः	एधँ॒ ( एध् ) 	वृद्धौ 	सेट् 	आ.प 	2	2	2
3	भ्वादिः	स्पर्धँ॒ ( स्पर्ध् ) 	सङ्घर्षे 	सेट् 	आ.प 	3	3	3
4	भ्वादिः	गाधृँ॒(गाध्) 	ग्रन्थे 	सेट् 	आ.प 	4	4	4
5	भ्वादिः	गाधृँ॒(गाध्) 	प्रतिष्ठायाम् 	सेट् 	आ.प 	4	4	4
6	भ्वादिः	गाधृँ॒(गाध्) 	लिप्सायाम् 	सेट् 	आ.प 	4	4	4
7	भ्वादिः	बाधृँ॒ ( बाध् ) 	लोडने 	सेट् 	आ.प 	5	X	5
8	भ्वादिः	बाधृँ॒ ( बाध् ) 	रोटने 	सेट् 	आ.प 	X	5	X
9	भ्वादिः	नाथृँ॒(नाथ्) 	आशिषि 	सेट् 	आ.प 	6	6	6
10	भ्वादिः	नाथृँ॒ ( नाथ् ) 	उपतापे 	सेट् 	आ.प 	6	6	6
11	भ्वादिः	नाथृँ॒ ( नाथ् ) 	ऐश्वर्ये 	सेट् 	आ.प 	6	6	6
12	भ्वादिः	नाथृँ॒ ( नाथ् ) 	याच्ञायाम् 	सेट् 	आ.प 	6	6	6
13	भ्वादिः	नाधृँ॒(नाध्) 	आशिषि 	सेट् 	आ.प 	6	6	X
14	भ्वादिः	नाधृँ॒(नाध्) 	उपतापे 	सेट् 	आ.प 	6	6	X
15	भ्वादिः	नाधृँ॒(नाध्) 	ऐश्वर्ये 	सेट् 	आ.प 	6	6	X
16	भ्वादिः	नाधृँ॒(नाध्) 	याच्ञायाम् 	सेट् 	आ.प 	6	6	X
17	भ्वादिः	णाधृँ॒(णाध्) 	आशिषि 	सेट् 	आ.प 	X	X	6
18	भ्वादिः	णाधृँ॒(णाध्) 	उपतापे 	सेट् 	आ.प 	X	X	6
19	भ्वादिः	णाधृँ॒(णाध्) 	ऐश्वर्ये 	सेट् 	आ.प 	X	X	6
20	भ्वादिः	णाधृँ॒(णाध्) 	याच्ञायाम् 	सेट् 	आ.प 	X	X	6
21	भ्वादिः	दधँ॒(दध्) 	धारणे 	सेट् 	आ.प 	7	7	7
22	भ्वादिः	स्कुदिँ॒(स्कुद्) 	आप्रवणे 	सेट् 	आ.प 	8	8	8
23	भ्वादिः	श्विदिँ॒ ( श्विद् ) 	श्वैत्ये 	सेट् 	आ.प 	9	9	9
24	भ्वादिः	वदिँ॒ ( वद् ) 	अभिवादने 	सेट् 	आ.प 	10	10	10
25	भ्वादिः	वदिँ॒ ( वद् ) 	स्तुतौ 	सेट् 	आ.प 	X	10	10
26	भ्वादिः	भदिँ॒(भद्) 	कल्याणे 	सेट् 	आ.प 	11	11	11
27	भ्वादिः	भदिँ॒(भद्) 	सुखे 	सेट् 	आ.प 	11	11	11
28	भ्वादिः	मदिँ॒ ( मद् ) 	कान्तौ 	सेट् 	आ.प 	12	X	12
29	भ्वादिः	मदिँ॒ ( मद् ) 	गतौ 	सेट् 	आ.प 	12	12	12
30	भ्वादिः	मदिँ॒ ( मद् ) 	मदे 	सेट् 	आ.प 	12	12	12
31	भ्वादिः	मदिँ॒(मद्) 	मोदने 	सेट् 	आ.प 	12	12	12
32	भ्वादिः	मदिँ॒ ( मद् ) 	स्तुतौ 	सेट् 	आ.प 	12	12	12
33	भ्वादिः	मदिँ॒ ( मद् ) 	स्वप्ने 	सेट् 	आ.प 	12	12	12
34	भ्वादिः	स्पदिँ॒ ( स्पद् ) 	किञ्चिच्चलने 	सेट् 	आ.प 	13	13	13
35	भ्वादिः	क्लिदिँ॒ ( क्लिद् ) 	परिदेवने 	सेट् 	आ.प 	14	14	14
36	भ्वादिः	मुदँ॒ ( मुद् ) 	हर्षे 	सेट् 	आ.प 	14	15	15
37	भ्वादिः	ददँ॒ ( दद् ) 	दाने 	सेट् 	आ.प 	15	16	16
38	भ्वादिः	ष्वदँ॒(ष्वद्) 	आस्वादने 	सेट् 	आ.प 	16	17	17
39	भ्वादिः	स्वर्दँ॒ ( स्वर्द् ) 	आस्वादने 	सेट् 	आ.प 	16	17	17
40	भ्वादिः	उर्दँ॒(उर्द्) 	क्रीडायाम् 	सेट् 	आ.प 	17	18	18
41	भ्वादिः	उर्दँ॒(उर्द्) 	माने 	सेट् 	आ.प 	17	18	18
42	भ्वादिः	कुर्दँ॒ ( कुर्द् ) 	क्रीडायाम् 	सेट् 	आ.प 	18	19	19
43	भ्वादिः	खुर्दँ॒ ( खुर्द् ) 	क्रीडायाम् 	सेट् 	आ.प 	18	X	19
44	भ्वादिः	गुदँ॒ ( गुद् ) 	क्रीडायाम् 	सेट् 	आ.प 	18	19	19
45	भ्वादिः	गुर्दँ॒ ( गुर्द् ) 	क्रीडायाम् 	सेट् 	आ.प 	18	19	X
46	भ्वादिः	षूदँ॒ ( षूद् ) 	क्षरणे 	सेट् 	आ.प 	19	20	20
47	भ्वादिः	ह्रादँ॒(ह्राद्) 	अव्यक्ते_शब्दे 	सेट् 	आ.प 	20	21	21
48	भ्वादिः	ह्लादीँ॒(ह्लाद्) 	अव्यक्ते_शब्दे 	सेट् 	आ.प 	21	22	22
49	भ्वादिः	ह्लादीँ॒(ह्लाद्) 	सुखे 	सेट् 	आ.प 	21	22	22
50	भ्वादिः	स्वादँ॒ ( स्वाद् ) 	आस्वादने 	सेट् 	आ.प 	22	23	23
51	भ्वादिः	पर्दँ॒(पर्द्) 	कुत्सिते_शब्दे 	सेट् 	आ.प 	23	24	24
52	भ्वादिः	यतीँ॒ ( यत् ) 	प्रयत्ने 	सेट् 	आ.प 	24	25	25
53	भ्वादिः	जुतृँ॒(जुत्) 	भासने 	सेट् 	आ.प 	25	26	26
54	भ्वादिः	युतृँ॒ ( युत् ) 	भासने 	सेट् 	आ.प 	25	26	26
55	भ्वादिः	विथृँ॒ ( विथ् ) 	याचने 	सेट् 	आ.प 	26	27	27
56	भ्वादिः	वेथृँ॒ ( वेथ् ) 	याचने 	सेट् 	आ.प 	26	27	27
57	भ्वादिः	श्रथिँ॒ ( श्रथ् ) 	शैथिल्ये 	सेट् 	आ.प 	27	28	28
58	भ्वादिः	ग्रथिँ॒ ( ग्रथ् ) 	कौटिल्ये 	सेट् 	आ.प 	28	29	29
59	भ्वादिः	कत्थँ॒ ( कत्थ् ) 	श्लाघायाम् 	सेट् 	आ.प 	29	30	31
60	भ्वादिः	अतँ ( अत् ) 	सातत्यगमने 	सेट् 	प.प 	30	31	32
61	भ्वादिः	चितीँ ( चित् ) 	संज्ञाने 	सेट् 	प.प 	31	32	33
62	भ्वादिः	च्युतिँर् ( च्युत् ) 	आसेचने 	सेट् 	प.प 	32	33	34
63	भ्वादिः	श्च्युतिँर् ( श्च्युत् ) 	क्षरणे 	सेट् 	प.प 	33	34	35
64	भ्वादिः	मन्थँ(मन्थ्) 	विलोडने 	सेट् 	प.प 	34	X	36
65	भ्वादिः	कुथिँ(कुथ्) 	सङ्क्लेशने 	सेट् 	प.प 	35	35	37
66	भ्वादिः	कुथिँ ( कुथ् ) 	हिंसायाम् 	सेट् 	प.प 	35	35	37
67	भ्वादिः	पुथिँ(पुथ्) 	सङ्क्लेशने 	सेट् 	प.प 	35	35	37
68	भ्वादिः	पुथिँ ( पुथ् ) 	हिंसायाम् 	सेट् 	प.प 	35	35	37
69	भ्वादिः	मथिँ(मथ्) 	सङ्क्लेशने 	सेट् 	प.प 	35	X	37
70	भ्वादिः	मथिँ(मथ्) 	हिंसायाम् 	सेट् 	प.प 	35	X	37
71	भ्वादिः	लुथिँ(लुथ्) 	सङ्क्लेशने 	सेट् 	प.प 	35	35	37
72	भ्वादिः	लुथिँ ( लुथ् ) 	हिंसायाम् 	सेट् 	प.प 	35	35	37
73	भ्वादिः	मन्थँ(मन्थ्) 	सङ्क्लेशने 	सेट् 	प.प 	X	35	X
74	भ्वादिः	मन्थँ(मन्थ्) 	हिंसायाम् 	सेट् 	प.प 	X	35	X
75	भ्वादिः	षिधुँ ( षिध् ) 	गत्याम् 	सेट् 	प.प 	36	36	38
76	भ्वादिः	षिधूँ(षिध्) 	माङ्गल्ये 	सेट् 	प.प 	37	37	39
77	भ्वादिः	षिधूँ(षिध्) 	शास्त्रे 	सेट् 	प.प 	37	37	39
78	भ्वादिः	खादृँ ( खाद् ) 	भक्षणे 	सेट् 	प.प 	38	38	40
79	भ्वादिः	खदँ(खद्) 	स्थैर्ये 	सेट् 	प.प 	39	39	41
80	भ्वादिः	खदँ ( खद् ) 	हिंसायाम् 	सेट् 	प.प 	39	39	41
81	भ्वादिः	बदँ ( बद् ) 	स्थैर्ये 	सेट् 	प.प 	40	40	42
82	भ्वादिः	गदँ(गद्) 	व्यक्तायां_वाचि 	सेट् 	प.प 	41	41	43
83	भ्वादिः	रदँ ( रद् ) 	विलेखने 	सेट् 	प.प 	42	42	44
84	भ्वादिः	णदँ(णद्) 	शब्दे 	सेट् 	प.प 	43	X	X
85	भ्वादिः	णदँ(णद्) 	अव्यक्ते_शब्दे 	सेट् 	प.प 	X	43	45
86	भ्वादिः	अर्दँ(अर्द्) 	गतौ 	सेट् 	प.प 	44	44	46
87	भ्वादिः	अर्दँ(अर्द्) 	याचने 	सेट् 	प.प 	44	44	46
88	भ्वादिः	गर्दँ(गर्द्) 	शब्दे 	सेट् 	प.प 	45	45	47
