अं॑सँ॑ 	*	समाघाते 	*	अंस (अंस्)	*	 । चु॰	*	०४६० ॥	*	 उ॰ । 	*	 सेट्
अ॑हिँ॑ 	*	[[भाषार्थः] च] 	*	अंह्	*	 । चु॰	*	०३२८ ॥	*	 उ॰ । 	*	 सेट्
अ॑हिँ॒ 	*	गतौ 	*	अंह्	*	 । भ्वा॰	*	०७२२ ॥	*	 आ॰ । 	*	 सेट्
अ॑कँ॑ 	*	[कुटिलायां गतौ] 	*	अक्	*	 । भ्वा॰	*	०९०१ ॥	*	 प॰ । 	*	 सेट्
अ॑क्षूँ॑ 	*	व्याप्तौ 	*	अक्ष्	*	 । भ्वा॰	*	०७४२ ॥	*	 प॰ । 	*	 सेट्
अ॑गँ॑ 	*	कुटिलायां गतौ 	*	अग्	*	 । भ्वा॰	*	०९०२ ॥	*	 प॰ । 	*	 सेट्
अ॑ङ्कँ॑ 	*	पदे लक्षणे च 	*	अङ्क (अङ्क्)	*	 । चु॰	*	०४७३ ॥	*	 उ॰ । 	*	 सेट्
अ॑किँ॒ 	*	लक्षणे 	*	अङ्क्	*	 । भ्वा॰	*	००९२ ॥	*	 आ॰ । 	*	 सेट्
अ॑ङ्गँ॑ 	*	[पदे लक्षणे] च 	*	अङ्ग (अङ्ग्)	*	 । चु॰	*	०४७४ ॥	*	 उ॰ । 	*	 सेट्
अ॑गिँ॑ 	*	[गत्यर्थः] 	*	अङ्ग्	*	 । भ्वा॰	*	०१५५ ॥	*	 प॰ । 	*	 सेट्
अ॑घिँ॒ 	*	[गत्याक्षेपे । गतौ गत्यारम्भे चेत्यपरे] 	*	अङ्घ्	*	 । भ्वा॰	*	०११५ ॥	*	 आ॰ । 	*	 सेट्
अ॑चुँ॒॑ 	*	[गतौ याचने च] इत्येके 	*	अच्	*	 । भ्वा॰	*	०९९९ ॥	*	 उ॰ । 	*	 सेट्
अ॑जँ॑ 	*	गतिक्षपनयोः 	*	अज्	*	 । भ्वा॰	*	०२६२ ॥	*	 प॰ । 	*	 सेट्
अ॑चिँ॑ 	*	[गतौ याचने च] इत्येपरे 	*	अञ्च्	*	 । भ्वा॰	*	१००० ॥	*	 उ॰ । 	*	 सेट्
अ॑ञ्चुँ॑ 	*	गतिपूजनयोः 	*	अञ्च्	*	 । भ्वा॰	*	०९९८ ॥	*	 प॰ । 	*	 सेट्
अ॑ञ्चुँ॒॑ 	*	गतौ याचने च 	*	अञ्च्	*	 । भ्वा॰	*	०२१५ ॥	*	 उ॰ । 	*	 सेट्
अ॑ञ्चुँ॑ 	*	विशेषणे 	*	अञ्च्	*	 । चु॰	*	०२६६ ॥	*	 उ॰ । 	*	 सेट्
अ॑जिँ॑ 	*	[[भाषार्थः] च] 	*	अञ्ज्	*	 । चु॰	*	००२१ ॥	*	 उ॰ । 	*	 सेट्
अ॑ञ्जूँ॑ 	*	व्यक्तिम्रक्षणकान्तिगतिषु (व्यक्तिमर्षणकान्तिगतिषु) 	*	अञ्ज्	*	 । रु॰	*	०३१६ ॥	*	 प॰ । 	*	 सेट्
अ॑टँ॑ 	*	[गतौ] 	*	अट्	*	 । भ्वा॰	*	०३३२ ॥	*	 प॰ । 	*	 सेट्
अ॑ट्टँ॑ 	*	[अनादरे] 	*	अट्ट्	*	 । चु॰	*	००३७ ॥	*	 उ॰ । 	*	 सेट्
अ॑ट्टँ॒ 	*	अतिक्रमणहिंसनयोः (अतिक्रमहिंसयोः) 	*	अट्ट्	*	 । भ्वा॰	*	०२८७ ॥	*	 आ॰ । 	*	 सेट्
अ॑डँ॑ 	*	उद्यमे 	*	अड्	*	 । भ्वा॰	*	०४१४ ॥	*	 प॰ । 	*	 सेट्
अ॑ड्डँ॑ 	*	अभियोगे 	*	अड्ड्	*	 । भ्वा॰	*	०४०३ ॥	*	 प॰ । 	*	 सेट्
अ॑णँ॑ 	*	[शब्दार्थः] 	*	अण्	*	 । भ्वा॰	*	०५१२ ॥	*	 प॰ । 	*	 सेट्
अ॑णँ॒ 	*	प्राणने 	*	अण्	*	 । दि॰	*	००७१ ॥	*	 आ॰ । 	*	 सेट्
अ॑ठिँ॒ 	*	गतौ 	*	अण्ठ्	*	 । भ्वा॰	*	०२९४ ॥	*	 आ॰ । 	*	 सेट्
अ॑तँ॑ 	*	सातत्यगमने 	*	अत्	*	 । भ्वा॰	*	००३८ ॥	*	 प॰ । 	*	 सेट्
अ॒दँ॑ 	*	भक्षणे 	*	अद्	*	 । अ॰	*	०००१ ॥	*	 प॰ । 	*	 अनिट्
अ॑ड्डँ॑ 	*	अभियोगे 	*	अद्ड्	*	 । भ्वा॰	*	०४०३ ॥	*	 प॰ । 	*	 सेट्
इ॒ङ् 	*	अध्ययने (नित्यमधिपूर्वः) 	*	अधी अधि॑ऽइ	*	 । अ॰	*	००४१ ॥	*	 प॰ । 	*	 अनिट्
इ॒क् 	*	स्मरणे (अयमप्यधिपूर्वः) 	*	अधीअधि॑ऽइ	*	 । अ॰	*	००४२ ॥	*	 प॰ । 	*	 अनिट्
अ॑नो॑ रु॒धँ॒ 	*	कामे 	*	अनुरुध् अनु॑ऽरुध्	*	 । दि॰	*	००७० ॥	*	 आ॰ । 	*	 अनिट्
अ॑नँ॒ 	*	[प्राणने] इत्येके 	*	अन्	*	 । दि॰	*	००७२ ॥	*	 आ॰ । 	*	 सेट्
अ॑नँ॑ 	*	च [प्राणने] 	*	अन्	*	 । अ॰	*	००६५ ॥	*	 प॰ । 	*	 सेट्
अ॑तिँ॑ 	*	[बन्धने] 	*	अन्त्	*	 । भ्वा॰	*	००६३ ॥	*	 प॰ । 	*	 सेट्
अ॑दिँ॑ 	*	बन्धने 	*	अन्द्	*	 । भ्वा॰	*	००६४ ॥	*	 प॰ । 	*	 सेट्
अ॑न्धँ॑ 	*	दृष्ट्युपघाते । उपसंहार इत्यन्ये 	*	अन्ध (अन्ध्)	*	 । चु॰	*	०४७१ ॥	*	 उ॰ । 	*	 सेट्
अ॑भ्रँ॑ 	*	[गत्यर्थः] 	*	अभ्र्	*	 । भ्वा॰	*	०६३७ ॥	*	 प॰ । 	*	 सेट्
अ॑मँ॑ 	*	गत्यादिषु (गतौ शब्दे सम्भक्तौ च) 	*	अम्	*	 । भ्वा॰	*	०५३६ ॥	*	 प॰ । 	*	 सेट्
अ॑मँ॑ 	*	रोगे (न मित् - १।९५०) 	*	अम्	*	 । चु॰	*	०२४५ ॥	*	 उ॰ । 	*	 सेट्
अ॑बिँ॒ 	*	शब्दे 	*	अम्ब्	*	 । भ्वा॰	*	०४३८ ॥	*	 आ॰ । 	*	 सेट्
अ॑भिँ॒ 	*	[[शब्दे] क्वचित्पठ्यते] 	*	अम्भ्	*	 । भ्वा॰	*	०४४८ ॥	*	 आ॰ । 	*	 सेट्
