अंस (अंस्)	 । चु॰	 सेट्	 उ॰ । 	अं॑सँ॑ 		समाघाते 	१०।	०४६० ॥
अंह्	 । चु॰	 सेट्	 उ॰ । 	अ॑हिँ॑ 		[[भाषार्थः] च] 	१०।	०३२८ ॥
अंह्	 । भ्वा॰	 सेट्	 आ॰ । 	अ॑हिँ॒ 		गतौ 	०१।	०७२२ ॥
अक्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑कँ॑ 		[कुटिलायां गतौ] 	०१।	०९०१ ॥
अक्ष्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑क्षूँ॑ 		व्याप्तौ 	०१।	०७४२ ॥
अग्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑गँ॑ 		कुटिलायां गतौ 	०१।	०९०२ ॥
अङ्क (अङ्क्)	 । चु॰	 सेट्	 उ॰ । 	अ॑ङ्कँ॑ 		पदे लक्षणे च 	१०।	०४७३ ॥
अङ्क्	 । भ्वा॰	 सेट्	 आ॰ । 	अ॑किँ॒ 		लक्षणे 	०१।	००९२ ॥
अङ्ग (अङ्ग्)	 । चु॰	 सेट्	 उ॰ । 	अ॑ङ्गँ॑ 		[पदे लक्षणे] च 	१०।	०४७४ ॥
अङ्ग्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑गिँ॑ 		[गत्यर्थः] 	०१।	०१५५ ॥
अङ्घ्	 । भ्वा॰	 सेट्	 आ॰ । 	अ॑घिँ॒ 		[गत्याक्षेपे । गतौ गत्यारम्भे चेत्यपरे] 	०१।	०११५ ॥
अच्	 । भ्वा॰	 सेट्	 उ॰ । 	अ॑चुँ॒॑ 		[गतौ याचने च] इत्येके 	०१।	०९९९ ॥
अज्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑जँ॑ 		गतिक्षपनयोः 	०१।	०२६२ ॥
अञ्च्	 । भ्वा॰	 सेट्	 उ॰ । 	अ॑चिँ॑ 		[गतौ याचने च] इत्येपरे 	०१।	१००० ॥
अञ्च्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑ञ्चुँ॑ 		गतिपूजनयोः 	०१।	०९९८ ॥
अञ्च्	 । भ्वा॰	 सेट्	 उ॰ । 	अ॑ञ्चुँ॒॑ 		गतौ याचने च 	०१।	०२१५ ॥
अञ्च्	 । चु॰	 सेट्	 उ॰ । 	अ॑ञ्चुँ॑ 		विशेषणे 	१०।	०२६६ ॥
अञ्ज्	 । चु॰	 सेट्	 उ॰ । 	अ॑जिँ॑ 		[[भाषार्थः] च] 	०७।	००२१ ॥
अञ्ज्	 । रु॰	 सेट्	 प॰ । 	अ॑ञ्जूँ॑ 		व्यक्तिम्रक्षणकान्तिगतिषु (व्यक्तिमर्षणकान्तिगतिषु) 	१०।	०३१६ ॥
अट्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑टँ॑ 		[गतौ] 	०१।	०३३२ ॥
अट्ट्	 । चु॰	 सेट्	 उ॰ । 	अ॑ट्टँ॑ 		[अनादरे] 	१०।	००३७ ॥
अट्ट्	 । भ्वा॰	 सेट्	 आ॰ । 	अ॑ट्टँ॒ 		अतिक्रमणहिंसनयोः (अतिक्रमहिंसयोः) 	०१।	०२८७ ॥
अड्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑डँ॑ 		उद्यमे 	०१।	०४१४ ॥
अड्ड्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑ड्डँ॑ 	(अ॑द्डँ॑)	अभियोगे 	०१।	०४०३ ॥
अण्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑णँ॑ 		[शब्दार्थः] 	०१।	०५१२ ॥
अण्	 । दि॰	 सेट्	 आ॰ । 	अ॑णँ॒ 		प्राणने 	०४।	००७१ ॥
अण्ठ्	 । भ्वा॰	 सेट्	 आ॰ । 	अ॑ठिँ॒ 		गतौ 	०१।	०२९४ ॥
अत्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑तँ॑ 		सातत्यगमने 	०१।	००३८ ॥
अद्	 । अ॰	 अनिट्	 प॰ । 	अ॒दँ॑ 		भक्षणे 	०२।	०००१ ॥
अद्ड्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑ड्डँ॑ 	(अ॑द्डँ॑)	अभियोगे 	०१।	०४०३ ॥
अधी अधि॑ऽइ	 । अ॰	 अनिट्	 प॰ । 	इ॒ङ् 		अध्ययने (नित्यमधिपूर्वः) 	०२।	००४१ ॥
अधीअधि॑ऽइ	 । अ॰	 अनिट्	 प॰ । 	इ॒क् 		स्मरणे (अयमप्यधिपूर्वः) 	०२।	००४२ ॥
अनुरुध् अनु॑ऽरुध्	 । दि॰	 अनिट्	 आ॰ । 	अ॑नो॑ रु॒धँ॒ 		कामे 	०४।	००७० ॥
अन्	 । दि॰	 सेट्	 आ॰ । 	अ॑नँ॒ 		[प्राणने] इत्येके 	०४।	००७२ ॥
अन्	 । अ॰	 सेट्	 प॰ । 	अ॑नँ॑ 		च [प्राणने] 	०२।	००६५ ॥
अन्त्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑तिँ॑ 		[बन्धने] 	०१।	००६३ ॥
अन्द्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑दिँ॑ 		बन्धने 	०१।	००६४ ॥
अन्ध (अन्ध्)	 । चु॰	 सेट्	 उ॰ । 	अ॑न्धँ॑ 		दृष्ट्युपघाते । उपसंहार इत्यन्ये 	१०।	०४७१ ॥
अभ्र्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑भ्रँ॑ 		[गत्यर्थः] 	०१।	०६३७ ॥
अम्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑मँ॑ 		गत्यादिषु (गतौ शब्दे सम्भक्तौ च) 	०१।	०५३६ ॥
अम्	 । चु॰	 सेट्	 उ॰ । 	अ॑मँ॑ 		रोगे (न मित् - १।९५०) 	१०।	०२४५ ॥
अम्ब्	 । भ्वा॰	 सेट्	 आ॰ । 	अ॑बिँ॒ 		शब्दे 	०१।	०४३८ ॥
अम्भ्	 । भ्वा॰	 सेट्	 आ॰ । 	अ॑भिँ॒ 		[[शब्दे] क्वचित्पठ्यते] 	०१।	०४४८ ॥
अय्	 । भ्वा॰	 सेट्	 आ॰ । 	अ॑यँ॒ 		[गतौ] 	०१।	१०३१ ॥
अय्	 । भ्वा॰	 सेट्	 उ॰ । 	अ॑यँ॒॑ 		गतौ) 	०१।	०५४६ ॥
अर्क्	 । चु॰	 सेट्	 उ॰ । 	अ॑र्कँ॑ 		स्तवने 	१०।	०१४५ ॥
अर्घ्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑र्घँ॑ 		मूल्ये) 	०१।	०१८५ ॥
अर्च्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑र्चँ॑ 		पूजायाम् 	०१।	०२३२ ॥
अर्च्	 । चु॰	 सेट्	 उ॰ । 	अ॑र्चँ॑ 		पूजायाम् 	१०।	०३४० ॥
अर्ज्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑र्जँ॑ 		[अर्जने] 	०१।	०२५६ ॥
अर्ज्	 । चु॰	 सेट्	 उ॰ । 	अ॑र्जँ॑ 		प्रतियत्ने (सम्पादने च) 	१०।	०२५० ॥
अर्थ (अर्थ्)	 । चु॰	 सेट्	 आ॰ । 	अ॑र्थँ॒ 		उपयाच्ञायाम् 	१०।	०४४७ ॥
अर्द्	 । चु॰	 सेट्	 उ॰ । 	अ॑र्दँ॑ 	(अ॒र्दँ॑)	हिंसायाम् 	१०।	०३६५ ॥
अर्द्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑र्दँ॑ 		गतौ याचने च 	०१।	००५७ ॥
अर्ब्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑र्बँ॑ 		[गतौ] 	०१।	०४८१ ॥
अर्व्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑र्वँ॑ 		[हिंसायाम्] 	०१।	०६६७ ॥
अर्ह्	 । चु॰	 सेट्	 उ॰ । 	अ॑र्हँ॑ 		पूजायाम् 	१०।	०२५७ ॥
अर्ह्	 । चु॰	 सेट्	 उ॰ । 	अ॑र्हँ॑ 		पूजायाम् 	१०।	०३६७ ॥
अर्ह्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑र्हँ॑ 		पूजायाम् 	०१।	०८४१ ॥
अल्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑लँ॑ 	(अ॒लँ॑)	भूषणपर्याप्तिवारणेषु 	०१।	०५९३ ॥
अव्	 । भ्वा॰	 सेट्	 प॰ । 	अ॑वँ॑ 		रक्षणगतिकान्तिप्रीतितृप्त्यवगमप्रवेशश्रवणस्वाम्यर्थयाचनक्रियेच्छादीप्त्यवाप्त्यालिङ्गनहिंसादानभागवृद्धिषु 	०१।	०६८४ ॥
अश्	 । क्र्या॰	 सेट्	 प॰ । 	अ॑शँ॑ 		भोजने 	०९।	००५९ ॥
अश्	 । स्वा॰	 सेट्	 आ॰ । 	अ॑शूँ॒ 		व्याप्तौ सङ्घाते च 	०५।	००२० ॥
अष्	 । भ्वा॰	 सेट्	 उ॰ । 	अ॑षँ॒॑ 		[गतिदीप्त्यादानेषु] इत्येके 	०१।	१०३० ॥
अस्	 । दि॰	 सेट्	 प॰ । 	अ॑सुँ॑ 		क्षेपने 	०४।	०१०६ ॥
अस्	 । भ्वा॰	 सेट्	 उ॰ । 	अ॑सँ॒॑ 		गतिदीप्त्यादानेषु 	०१।	१०२९ ॥
अस्	 । अ॰	 सेट्	 प॰ । 	अ॑सँ॑ 		भुवि 	०२।	००६० ॥
अह्	 । स्वा॰	 सेट्	 प॰ । 	अ॑हँ॑ 		व्याप्तौ 	०५।	००२९ ॥
आक्रन्द् आङ्ऽक्रन्द्	 । चु॰	 सेट्	 उ॰ । 	आ॑ङः॒॑ क्रन्दँ 		सातत्ये 	१०।	०२५२ ॥
