eDa! ,  , ﻿﻿﻿﻿100 , 0.0448770523071
eDa! , ta , 800 , 0.00185203552246
eDa! , ta , 1050 , 0.00473284721374
eDa! , ta , 1800 , 0.00109505653381
eDa! , ta , 1900 , 0.00106811523438
eDa! , ta , 2000 , 0.00122880935669
eDa! , ta , 2300 , 0.00258588790894
eDa! , ta , 2400 , 0.00367307662964
eDa! , ta , 3100 , 0.00221204757691
eDa! , ta , 3400 , 0.00196814537048
eDa! , ta , 3600 , 0.00131392478943
eDa! , ta , 3900 , 0.00308895111084
eDa! , ta , 4400 , 0.00671005249023
eDa! , ta , 4500 , 0.0025110244751
eDa! , ta , 4650 , 0.00134706497192
eDa! , ta , 4800 , 0.00129389762878
eDa! , ta , 4900 , 0.00219202041626
eDa! , ta , 5500 , 0.00440502166748
eDa! , ta , 5700 , 0.00303602218628
eDa! , ta , 7400 , 0.00438809394836
eDa! , ta , 8600 , 0.00117778778076
eDa! , ta , 9000 , 0.0041561126709
eDa! , ta , 9500 , 0.00274610519409
eDa! , ta , 9700 , 0.00116801261902
eDa! , ta , 9800 , 0.0273358821869
eDa! , ta , 9900 , 0.00134801864624
eDa! , ta , 10000 , 0.00191020965576
eDa! , ta , 10100 , 0.0016098022461
eDa! , ta , 10600 , 0.00170993804931
eDa! , ta , 10800 , 0.00116896629334
eDa! , ta , 10900 , 0.0125041007996
eDa! , ta , 11000 , 0.00184798240661
eDa! , ta , 11300 , 0.00133490562439
eDa! , ta , 11400 , 0.00206613540649
eDa! , ta , 11700 , 0.00202202796936
eDa! , AtAm , 4900 , 0.0104069709778
eDa! , Ja , 4800 , 0.00197315216065
eDa! , TAs , 11200 , 0.0102219581604
eDa! , Dvam , 4900 , 0.00844287872314
eDa! , mahiN , End_of_code , 0.0118000507355
